id,name,note,station_id,sensor_type,latitude,longitude,station_name
1,S1,Viale Marconi ingresso Viale Marconi ingr dx,1,4,39.239952772,9.14736801385,MARCONI_I
2,S2,Viale Marconi ingresso Viale Marconi ingr sx,1,4,39.239952772,9.14736801385,MARCONI_I
3,S3,Viale Marconi uscita Viale Marconi uscita dx,2,4,39.2399100739,9.14742141869,MARCONI_U
4,S4,Viale Marconi uscita Viale Marconi uscita sx,2,4,39.2399100739,9.14742141869,MARCONI_U
5,S5,Circonvallazione Pirri - Via Quasimodo IN Circonvallazione Pirri - Via Quasimodo,3,4,39.2531666371,9.11308806904,PIRRI_I
6,S6,Circonvallazione Pirri - Via Quasimodo IN Circonvallazione Pirri - Via Quasimodo,3,4,39.2531666371,9.11308806904,PIRRI_I
7,S7,Circonvallazione Pirri - Via Quasimodo OUT Circonvallazione Pirri - Via Quasimodo,4,4,39.2531847009,9.11319092524,PIRRI_U
8,S8,Circonvallazione Pirri - Via Quasimodo OUT Circonvallazione Pirri - Via Quasimodo,4,4,39.2531847009,9.11319092524,PIRRI_U
9,S9,Viale Monastir IN SS 131 Ingresso dx,5,4,39.2573849327,9.08907706359,MONASTIR_I
10,S10,Viale Monastir IN SS 131 Ingresso sx,5,4,39.2573849327,9.08907706359,MONASTIR_I
11,S11,Viale Monastir OUT SS131 Uscita sx,6,4,39.2574054688,9.0891398738,MONASTIR_U
12,S12,Viale Monastir OUT SS131 Uscita dx,6,4,39.2574054688,9.0891398738,MONASTIR_U
13,S13,Viale Elmas SS 130 Civ 154 IN Viale Elmas SS 130 Civ 154,7,4,39.2483116151,9.0861730106,ELMAS_I
14,S14,Viale Elmas SS 130 Civ 154 IN Viale Elmas SS 130 Civ 154,7,4,39.2483116151,9.0861730106,ELMAS_I
15,S15,Viale Elmas SS 130 Civ 154 OUT Viale Elmas SS 130 Civ 154,8,4,39.248337441,9.08623359568,ELMAS_U
16,S16,Viale Elmas SS 130 Civ 154 OUT Viale Elmas SS 130 Civ 154,8,4,39.248337441,9.08623359568,ELMAS_U
17,S17,Direzione Cagliari SS 195 Raccordo,9,4,39.2421944445,9.08645277742,SS195 Raccordo_I
18,S18,Direzione Cagliari SS 195 Raccordo,9,4,39.2421944445,9.08645277742,SS195 Raccordo_I
